med_event_ID,conflict_country,conflict_counry_ID,conflict_id,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,Day,Month,Year,third_party,third_party_id_GLOPAD,third_party_id_PAAX,third_party_id_GW,num_med,individual_med_named,groupings_mechanisms,num_local,if_loc_belig,agmt,agmt_name,agmt_id_PAX,Summary,source_urls,med_type
SUD202401-1,Sudan,625,,Germany,DEU,9,51,23,1,2024,Germany; South Sudan,CON_2;CON_173,CON_2; CON_173,255; 626,2,Annalena Baerbock,,0,,0,,,"January 23, 2024 (NAIROBI) – Germany’s Foreign Minister Annalena Baerbock will on Wednesday visit to East Africa, where she is expected to push for sanctions and accountability to force warring parties in Sudan to end the war.
She is expected to visit South Sudan, Kenya and Djibouti during the three-day tour....German Foreign Minister Annalena Baerbock has called for increased efforts to end the power struggle in Sudan as she embarks on a tour of East Africa. German Foreign Minister Annalena Baerbock has called for greater ""pressure"" to be applied to both sides to find a negotiated solution to the ongoing conflict in Sudan. Setting off on a multi-day trip to Djibouti, Kenya and South Sudan, Baerbock said in a statement that she wanted to discuss ways to bring the warring Sudanese generals Burhan and Hemedti to the negotiating table ""so that they do not drag the people of Sudan further into the abyss and destabilize the region further."" Earlier this month, Sudan's army-aligned government spurned an invitation to a summit organized by the IGAD and subsequently suspended its membership in the bloc for engaging with Hemedti",https://sudantribune.com/article281621/;https://www.dw.com/en/sudan-german-foreign-minister-demands-solution-to-conflict/a-68071988;https://www.dw.com/en/sudan-german-foreign-minister-demands-solution-to-conflict/a-68071988;https://www.capitalfm.co.ke/news/2024/01/ruto-discusses-sudan-conflict-with-german-foreign-minister-at-sagana/;https://www.capitalfm.co.ke/news/2024/01/ruto-discusses-sudan-conflict-with-german-foreign-minister-at-sagana/;https://www.dw.com/en/germanys-baerbock-visits-kenya-with-sudan-conflict-in-focus/a-68088017;https://www.dw.com/en/germanys-baerbock-visits-kenya-with-sudan-conflict-in-focus/a-68088017,MR
SUD202407-1,Sudan,625,,Juba,SSD,31.6,4.85,18,7,2024,South Sudan,CON_173,CON_173,626,1,Salva Kiir,,1,1,0,,,"As part of the efforts of South Sudan to restore peace and stability in the Sudan, on 18 July Mr. Kiir met with the Deputy Commander of the Rapid Support Forces, Abdelrahim Hamdan Dagalo, in Juba. ",https://documents.un.org/doc/undoc/gen/n24/298/85/pdf/n2429885.pdf,MR
SUD202409-1,Sudan,625,,Beijing,CHN,116.3975,39.9067,4,9,2024,Ethiopia,CON_159,CON_159,530,1,Abiy Ahmed,,1,1,0,,,"Prime Minister Abiy Ahmed held talks with the Chairman of Sudan's Transitional Sovereign Council General Abdel Fattah Al-Burhan today, on the sidelines of the Forum on China-Africa Cooperation. 'Following up on our meeting in July, I had another opportunity to meet with General Abdel Fattah al-Burhan on the sidelines of the Forum on China-Africa Cooperation,' the premier wrote on social media channels. The Prime Minister added that our discussions focused on a range of bilateral and regional issues of mutual concern. Recall Prime Minister Abiy Ahmed arrived in Port Sudan on July 9, 2024, continuing his commitment to finding sustainable solutions for Sudan's stability. Following his visit, Prime Minister Abiy said: 'the problem of our brother Sudanese people is our problem, their peace is also our peace, so we will work hard for the Sudanese people's peace and prosperity journey like yesterday.' He further revealed that since the challenges faced by the people of Sudan are also our challenges , and their peace is our peace, we are committed to working towards the relief and prosperity of the Sudanese people..... On the sidelines of the forum, the premier held talks with the Chairman of Sudan's Transitional Sovereign Council General Abdel Fattah Al-Burhan. ""Following up on our meeting in July, I had another opportunity to meet with General Abdel Fattah al-Burhan on the sidelines of the FOCAC. Our discussions focused on a range of bilateral and regional issues of mutual concern,"" PM Abiy also posted on Facebook",https://www.tanzanianewsreports.com/pm-abiy-confers-with-general-abdel-fattah-al-burhan/; https://allafrica.com/stories/202409050266.html,MR
SUD202409-2,Sudan,625,,Beijing,CHN,116.3975,39.9067,4,9,2024,China,CON_20,CON_20,710,1,Xi Jinping,,1,1,0,,,"SAF leader Gen Abdel Fattah al-Burhan 4-6 Sept met with Chinese President Xi Jinping, Ethiopian PM Abiy Ahmed and Eritrean President Isaias Afwerki on sidelines of China-Africa Cooperation Summit in effort to strengthen support for his govt based in Port Sudan.... Commander-in-chief of the Sudanese Armed Forces, Lt Gen Abdelfattah El Burhan, arrived in Beijing yesterday for the 2024 Summit of the Forum on China-Africa Cooperation (FOCAC), which runs till Friday. During his visit, El Burhan oversaw the signing of several crucial agreements. These deals cover a wide range of sectors, including solar energy, mining, agriculture, and transmission lines, as well as joint agreements in nuclear energy, and the development of airports and ports....President Xi Jinping called on Friday for China and Sudan to actively implement the outcomes of the 2024 FOCAC Summit to upgrade the quality and level of their bilateral cooperation. Xi made the remarks during a meeting with Chairman of Sudan's Sovereignty Council Abdel Fattah Al-Burhan. Xi emphasized the strong friendship and solidarity between the two countries, describing them as good friends who stand together through thick and thin. Noting that China follows the development of the situation in Sudan, Xi expressed the country's support for Sudan in safeguarding its national sovereignty, independence and territorial integrity to ensure that Sudan holds its future in its own hands. Al-Burhan praised China for its consistent support for Sudan in upholding its independence and sovereignty and opposing external interference.",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=14&crisis_state=&created=&from_month=1&from_year=2025&to_month=1&to_year=2025; https://allafrica.com/stories/202409050004.html; https://www.xhby.net/content/s66dc1ff0e4b0ac1d26c21f51.html,MR
SUD202409-3,Sudan,625,,Beijing,CHN,116.3975,39.9067,4,9,2024,Ethiopia,CON_159,CON_159,530,1,Abiy Ahmed,,1,1,0,,,"SAF leader Gen Abdel Fattah al-Burhan 4-6 Sept met with Chinese President Xi Jinping, Ethiopian PM Abiy Ahmed and Eritrean President Isaias Afwerki on sidelines of China-Africa Cooperation Summit in effort to strengthen support for his govt based in Port Sudan",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=14&crisis_state=&created=&from_month=1&from_year=2025&to_month=1&to_year=2025,MR
SUD202409-4,Sudan,625,,Beijing,CHN,116.3975,39.9067,4,9,2024,Eritrea,CON_272,CON_272,531,1,Isaias Afwerki,,1,1,0,,,"SAF leader Gen Abdel Fattah al-Burhan 4-6 Sept met with Chinese President Xi Jinping, Ethiopian PM Abiy Ahmed and Eritrean President Isaias Afwerki on sidelines of China-Africa Cooperation Summit in effort to strengthen support for his govt based in Port Sudan",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=14&crisis_state=&created=&from_month=1&from_year=2025&to_month=1&to_year=2025,MR
SUD202409-5,Sudan,625,,Virtual ,0, , ,5,9,2024,United States; Switzerland; Egypt; Saudi Arabia; United Arab Emirates; AU; UN,CON_3;CON_202;CON_82;CON_419;CON_591;GP-6;IGO_49,CON_3; CON_202; CON_82; CON_419; CON_591; ; IGO_49,2; 225; 651; 670; 696; ; ,7,,Aligned for Advancing Lifesaving and Peace in Sudan,0,,0,,,"On September 5, weekly virtual sessions that focus on the expansion of emergency humanitarian access and respect for international humanitarian law continued by the Aligned for Advancing Lifesaving and Peace in Sudan (ALPS) Group. The group issued a joint statement on progress in addressing the crisis in Sudan. The ALPS delegation members continued to engage the Sudanese Armed Forces (SAF) and Rapid Support Forces (RSF) with the urgent objective of expanding road access from Port Sudan through Shendi to Khartoum, as well as roads from Khartoum to El Obeid and to Kosti, including through Sennar.",https://menafn.com/1108649659/ALPS-Group-Issues-Joint-Statement-On-Progress-In-Addressing-Crisis-In-Sudan,MR
SUD202409-6,Sudan,625,,New York,USA,-73.9249,40.6943,8,9,2024,Qatar; United States,CON_486;CON_3,CON_486; CON_3,694; 2,2,Tom Perriello; Sheikha Alya Ahmed bin Saif Al-Thani,,0,,0,,,"Qatar’s Permanent Representative to the United Nations (UN), Sheikha Alya Ahmed bin Saif Al-Thani, has met with United States Special Envoy to Sudan Tom Perriello to discuss the latest developments in the war-stricken country. The sit-down, which took place in New York, focused on the deteriorating humanitarian situation, according to a statement released by Qatar’s Ministry of Foreign Affairs. ",https://dohanews.co/qatars-un-rep-meets-with-uss-sudan-envoy/,MR
SUD202409-7,Sudan,625,,Riyadh,SAU,46.7167,24.6333,8,9,2024,United States; Saudi Arabia,CON_3;CON_419,CON_3; CON_419,2; 670,2,Tom Perriello,,0,,0,,,"U.S. Special Envoy Tom Perriello during Sept toured regional capitals, including Riyadh, Cairo, Ankara, Nairobi and Addis Ababa, to maintain momentum from U.S.-led Geneva talks in Aug and push for coordinated strategy among regional powers to end war. ",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=14&crisis_state=&created=&from_month=1&from_year=2025&to_month=1&to_year=2025; https://news.az/news/the-us-rallies-a-coalition-to-save-sudan; https://allafrica.com/stories/202409080085.html; https://www.miragenews.com/us-envoy-perriello-visits-saudi-arabia-egypt-1311793/,MR
SUD202409-8,Sudan,625,,Cairo,EGY,31.2358,30.0444,8,9,2024,United States; Egypt,CON_3;CON_82,CON_3; CON_82,2; 651,2,Tom Perriello,,0,,0,,,"U.S. Special Envoy Tom Perriello during Sept toured regional capitals, including Riyadh, Cairo, Ankara, Nairobi and Addis Ababa, to maintain momentum from U.S.-led Geneva talks in Aug and push for coordinated strategy among regional powers to end war. ",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=14&crisis_state=&created=&from_month=1&from_year=2025&to_month=1&to_year=2025; https://news.az/news/the-us-rallies-a-coalition-to-save-sudan; https://allafrica.com/stories/202409080085.html; https://www.miragenews.com/us-envoy-perriello-visits-saudi-arabia-egypt-1311793/,MR
