id,GLOPAD_ID,PAAX_ID,ActorName,GW_ID,org_region,actor_classification,actor_classification_glopad,other_glopad_id
0,CON_0,CON_0,Bosnia and Herzegovina,346,,Country/State,Country/State,GP-132
1,CON_1,CON_1,Croatia,344,,Country/State,Country/State,GP-141
2,CON_2,CON_2,Germany,255,,Country/State,Country/State,GP-163
3,CON_3,CON_3,United States,2,,Country/State,Country/State,GP-19
4,CON_4,CON_4,Spain,230,,Country/State,Country/State,GP-226
5,IGO_5,IGO_5,European Union,,Europe,Regional IGO,Regional IGO,GP-250
6,CON_7,CON_7,France,220,,Country/State,Country/State,GP-264
7,CON_6,CON_6,Central African Republic,482,,Country/State,Country/State,GP-274
8,IGO_8,IGO_8,UN Security Council,,,International IGO,International IGO,GP-291
9,CON_18,CON_18,Bahrain,692,,Country/State,Country/State,GP-3
10,CON_21,CON_21,Russia,365,,Country/State,Country/State,GP-312
11,CON_20,CON_20,China,710,,Country/State,Country/State,GP-315
12,CON_17,CON_17,Gabon,481,,Country/State,Country/State,GP-338
13,CON_19,CON_19,United Kingdom,200,,Country/State,Country/State,GP-346
14,CON_15,CON_15,Brazil,140,,Country/State,Country/State,GP-347
15,CON_14,CON_14,Slovenia,317,,Country/State,Country/State,GP-349
16,CON_13,CON_13,Namibia,565,,Country/State,Country/State,GP-352
17,CON_12,CON_12,Malaysia,820,,Country/State,Country/State,GP-353
18,CON_11,CON_11,Canada,20,,Country/State,Country/State,GP-355
19,CON_10,CON_10,Netherlands,210,,Country/State,Country/State,GP-36
20,CON_9,CON_9,Argentina,160,,Country/State,Country/State,GP-386
21,CON_16,CON_16,Gambia,420,,Country/State,Country/State,GP-391
22,CON_22,CON_22,Yugoslavia,345,,Country/State,Country/State,GP-406
23,POL_39,POL_39,Unity People’s Party,481,,,Political Party,GP-410
24,POL_40,POL_40,Socialist Union of Gabon,481,,,Political Party,GP-43
25,CON_41,CON_41,Benin,434,,Country/State,Country/State,GP-436
26,CON_44,CON_44,Guinea ,438,,Country/State,Country/State,GP-437
27,CON_42,CON_42,Congo,484,,Country/State,Country/State,GP-438
28,IGO_43,IGO_43,Organization of African Unity,,Africa,Regional IGO,Regional IGO,GP-440
29,POL_38,POL_38,Gabon Association for Socialism,481,,,Political Party,GP-454
30,POL_37,POL_37,Radical Independent Republican Party,481,,,Political Party,GP-459
31,POL_34,POL_34,National Assembly of Foresters,481,,,Political Party,GP-48
32,POL_33,POL_33,Liberal Reform Convention,481,,,Political Party,GP-480
33,POL_32,POL_32,United People’s Party,481,,,Political Party,GP-483
34,POL_31,POL_31,Social Democratic Party,481,,,Political Party,GP-49
35,POL_30,POL_30,Democratic Party of Gabon,481,,,Political Party,GP-491
36,POL_29,POL_29,Democratic Justice Congress,481,,,Political Party,GP-493
37,POL_28,POL_28,Independent Centre Party of Gabon,481,,,Political Party,GP-5
38,POL_27,POL_27,Democratic & Republican Alliance,481,,,Political Party,GP-50
39,POL_26,POL_26,National Recovery Movement,481,,,Political Party,GP-53
40,POL_25,POL_25,African Forum for Reconstruction,481,,,Political Party,GP-535
41,POL_24,POL_24,People’s Socialist Emancipation Movement,481,,,Political Party,GP-536
42,POL_23,POL_23,Progress Party of Gabon,481,,,Political Party,GP-540
43,POL_35,POL_35,Gabon People’s Union,481,,,Political Party,GP-570
44,ENT_46,ENT_46,Abkhazia,372,,,Entity,GP-586
45,CON_45,CON_45,Georgia,372,,Country/State,Country/State,GP-591
46,ENT_47,ENT_47,North Caucasian,365,,,Entity,GP-597
47,IGO_48,IGO_48,Conference on Security and Cooperation in Europe,,Europe,Regional IGO,Regional IGO,GP-599
48,IGO_49,IGO_49,United Nations (General),,,International IGO,International IGO,GP-600
49,COA_51,COA_51,Group of Friends UNSG,,,,State Coalition,GP-616
50,IGO_50,IGO_50,Organization for Security and Cooperation in Europe,,Europe,International IGO,International IGO,GP-624
51,CON_62,CON_62,Tajikistan,702,,Country/State,Country/State,GP-63
52,CON_61,CON_61,Armenia,371,,Country/State,Country/State,GP-64
53,CON_60,CON_60,Moldova,359,,Country/State,Country/State,GP-65
54,CON_59,CON_59,Azerbaijan,373,,Country/State,Country/State,GP-652
55,CON_58,CON_58,Belarus,370,,Country/State,Country/State,GP-672
56,CON_54,CON_54,Uzbekistan,704,,Country/State,Country/State,GP-673
57,CON_56,CON_56,Kazakhstan,705,,Country/State,Country/State,GP-674
58,CON_55,CON_55,Kyrgyzstan,703,,Country/State,Country/State,GP-675
59,IGO_53,IGO_53,Commonwealth of Independent States,,Europe,International IGO,International IGO,GP-676
60,CON_52,CON_52,Ukraine,369,,Country/State,Country/State,GP-677
61,CON_57,CON_57,Turkmenistan,701,,Country/State,Country/State,GP-678
62,IGO_63,IGO_63,CIS Peacekeeping Force,,Europe,Regional IGO,Regional IGO,GP-679
63,IGO_65,IGO_65,High Commission for Refugees,,,International IGO,International IGO,GP-68
64,IGO_64,IGO_64,United Nations Development Programme,,,International IGO,International IGO,GP-680
65,CON_67,CON_67,Haiti,41,,Country/State,Country/State,GP-681
66,IGO_68,IGO_68,Organization of American States,,Americas,Regional IGO,Regional IGO,GP-718
67,OTH_72,OTH_72,All Bodo Students Union,750,,,Civil Society,GP-718
68,ENT_69,ENT_69,Assam,750,,,Entity,GP-750
69,CON_70,CON_70,India,750,,Country/State,Country/State,GP-795
70,OTH_71,OTH_71,BPAC,750,,,Other,GP-796
71,ENT_74,ENT_74,Mizoram,750,,,Entity,GP-8
72,CON_75,CON_75,Iraq,645,,Country/State,Country/State,GP-804
73,CON_79,CON_79,Lebanon,660,,Country/State,Country/State,GP-806
74,CON_78,CON_78,Jordan,663,,Country/State,Country/State,GP-831
75,CON_76,CON_76,Israel,666,,Country/State,Country/State,GP-87
76,CON_77,CON_77,Syrian Arab Republic,652,,Country/State,Country/State,GP-88
77,CON_81,CON_81,Norway,385,,Country/State,Country/State,GP-888
78,CON_82,CON_82,Egypt,651,,Country/State,Country/State,GP-89
79,CON_85,CON_85,Togo,461,,Country/State,Country/State,GP-892
80,CON_86,CON_86,Burkina Faso,439,,Country/State,Country/State,GP-896
81,IGO_87,IGO_87,African Union,,Africa,Regional IGO,Regional IGO,GP-913
82,CON_88,CON_88,Côte d’Ivoire,437,,Country/State,Country/State,GP-917
83,IGO_89,IGO_89,Economic Community of West African States,,Africa,Regional IGO,Regional IGO,GP-918
84,CON_90,CON_90,Nigeria,475,,Country/State,Country/State,GP-95
85,CON_83,CON_83,Liberia,450,,Country/State,Country/State,GP-950
86,OTH_475,OTH_475,International Negotiations Network (INN),,,,Civil Society,GP-972
87,CON_92,CON_92,Senegal,433,,Country/State,Country/State,GP-982
88,CON_91,CON_91,Guinea-Bissau,404,,Country/State,Country/State,GP-984
