level_0,id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,iso3c,country_name,actor_id,actor_name,abbreviation,alt_names
old,CON_0,Country/State,,,,,,,BIH,Bosnia and Herzegovina,0.0,Bosnia and Herzegovina,BOS,Bosnia-Herzegovina | BOSNIA AND HERZEGOVINA | Bosnia Herzegovina | Republic of Bosnia and Herzegovina | Bosnia | Bosniak | Bosnian Croats | Bosnian Serb Civilian | Federation Bosnia | Federation Bosnia Herzegovina | Federation Bosnia Herzegovina Drago BILANDZIJA | Federation Bosnia Herzegovina : A. IZETBEGOVIC | Republic Bosnia | Republic Bosnia - Herzegovina | Republic Bosnia Herzegovina | Republic Federation Bosnia Herzegovina ] | BIH | Republic of Bosnia and Herzegovina | Bosnia and Herzegovina | Government Republic Bosnia Herzegovina | Herzegovina | Republics Bosnia Herzegovina |
old,CON_1,Country/State,,,,,,,HRV,Croatia,1.0,Croatia,CRO,Croatia | CROATIA | Croat | Croatia | Republic Croatia | Republic Croatia : | Republic Croatia DR | Croatia | Defence Government Republic Croatia | : Government Republic Croatia- | Office Government Republic Croatia Transitional Administration | Republika Hrvatska | HRV
old,CON_2,Country/State,,,,,,,DEU,Germany,2.0,Germany,GMY,Germany (Prussia) | GERMANY | Federal Republic Germany | Germany | GERMANY | Republic Germany | Federal Republic of Germany | German Foreign Ministry | Bundesrepublik Deutschland
old,CON_3,Country/State,,,,,,P5,USA,United States,3.0,United States,USA,United States of America | UNITED STATES | America | AMERICA | U.S. | U.S.A | United States | United States  Islamic Emirate | United States America | UNITED STATES AMERICA ANGOLA  ANDREEV SERGUEI VADIMOVICH  AMBASSADOR | United States Presidential Special Envoy Promotion Democracy | USA | US
old,CON_4,Country/State,,,,,,,ESP,Spain,4.0,Spain,SPN,Spain | SPAIN | Kingdom Spain | Spain | SPAIN | Reino de España | España
old,IGO_5,Intergovernmental Organization,Regional,,,1.0,,,,,5.0,European Union,EU,EU | The European Union || European Union | EU | EU Admininstrator | EU Monitoring Mission | EU Special Representative | European Union | EUROPEAN UNION | European Union - MAMADOU KANE | European Union Canada Mediator | European Union Delegation European Commission | European Union League Arab States | European Union Representative | European Union Co - Chair | European Union External Action Service | European Union Foreign Affairs | European Union Foreign Affairs Security | European Union High Representative | European Union High Representative Foreign Affairs & Security | European Union Special Negotiator | European Unions | European Union Special Negotiator | EU Presidency | EU Administrator | Local Presidency of the European Union | Union Europeene | EU Monitoring Mission | European External Action Service | EU facilitator | European Union High Representative of the Union for Foreign Affairs and Security Policy | European Union External Action Service | UE | EU Special Envoy  | Presidency of the EU | EU Special Representative for the Great Lakes Region | EU  |  The European Union  |  European Union | EU | European Union | European Union (EU) | European Union  - MAMADOU KANE | EU | European Union | European Union Canada Mediator | European Union League Arab States | European Union Representative
old,CON_6,Country/State,,,,,,,CAF,Central African Republic,6.0,Central African Republic,CEN,Central African Republic | CENTRAL AFRICAN REPUBLIC | CAR | CAR Government - Jean WILLYBIRO SAKO | Central African Republic | Central African Republic Basile Ikouebe | Central African Republic Excellency | Central African Republic Head | Central African Republic : | Central African Republic : Excellency Mr Felix - Ange | Republic Central African Republic | Central African Government | Central African Republic  Basile Ikouebe | Central African Republic  Excellency | Central African Republic  Head
old,CON_7,Country/State,,,,,,P5,FRA,France,7.0,France,FRN, FRANCE | France | FRANCE | French Republic | French Republic Mr | French Republic : | French Republic Representative | Permanent Representatives France | Republic France | Republic of France | French Republic 
old,IGO_8,Intergovernmental Organization,,,1.0,,,United Nations,,,8.0,UN Security Council,UNSC,Un Security Council | United Nations Security Council | UNSC | U.N. Security Council | UN Security Council | UN Security Council Resolution | UN Security General | United Nations Security Council | UNSC | Un Security Council  |  United Nations Security Council  |  UNSC  |  U.N. Security Council
old,CON_9,Country/State,,,,,,,ARG,Argentina,9.0,Argentina,ARG,Argentina | ARGENTINA | Argentina | Argentine Delegations | Argentine Republic | Argentine Republic ] | Republic Argentina  Fernando Henrique Cardoso
old,CON_10,Country/State,,,,,,,NLD,Netherlands,10.0,Netherlands,NTH,Netherlands | NETHERLANDS | Kingdom Netherlands | Netherlands | NETHERLANDS | Nederland | Holland | PaÃƒÂ­ses Bajos | Royal Kingdom of the Netherlands | Kingdom of the Netherlands
old,CON_11,Country/State,,,,,,,CAN,Canada,11.0,Canada,CAN,Canada | CANADA | Canada | CANADA | Canada | Government Canada
old,CON_12,Country/State,,,,,,,MYS,Malaysia,12.0,Malaysia,MAL,Malaysia | MALAYSIA | Malaysian Government
old,CON_13,Country/State,,,,,,,NAM,Namibia,13.0,Namibia,NAM,Namibia | NAMIBIA | Republic Namibia | Nambia | Government Republic Namibia
old,CON_14,Country/State,,,,,,,SVN,Slovenia,14.0,Slovenia,SLV,Slovenia | SLOVENIA | Republic Slovenia | Republic Slovenia : | Slovenia
old,CON_15,Country/State,,,,,,,BRA,Brazil,15.0,Brazil,BRA,Brazil | BRAZIL | Federative Republic Brazil | Federal Republic Brazil | Federative Republic Brazil | Federative Republic of Brazil  | BRAZIL
old,CON_16,Country/State,,,,,,,GMB,Gambia,16.0,Gambia,GAM,Gambia | GAMBIA | Gambia | GAMBIA | Gambia ] | Republic Gambia | Republic GAMBIA
old,CON_17,Country/State,,,,,,,GAB,Gabon,17.0,Gabon,GAB,Gabon | GABON | Republic Gabon | Republic Gabonese Republic | Socialist Union Gabon | Gabonese Republic  | Gabonese Republic | Gabonese Republic  Republic | Gabonese Republic
