med_event_ID,conflict_country,conflict_counry_ID,conflict_id,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,Day,Month,Year,third_party,third_party_id_GLOPAD,third_party_id,third_party_id_PAX,num_med,individual_med_named,groupings_mechanisms,num_local,if_loc_belig,agmt,ceasefire,agmt_name,agmt_id_PAX,Summary,source_urls,med_type
LIB202301-1,Libya,620,,Cairo,EGY,31.2358,30.0444,5,1,2023,Egypt,CON_82,CON_82,651,1,Hanafy el-Gebaly,Egyptian Initiative,2+,1,1,,Joint statement on next steps (election related),,"Heads of rival assemblies, Aghela Saleh of Tobruk-based House of Representatives (HoR) and Khaled Mishri of Tripoli-based High State Council (HSC), 5 Jan met in Egyptian capital Cairo, pledged in vaguely-worded joint statement to refer amended constitutional draft to their respective chambers..... As a result of a meeting between Mr. Saleh and Mr. Mishri on 5 January in Cairo, the two leaders announced that they would task a joint committee composed of members of the two chambers with submitting a draft constitutional basis to the two houses for consideration and that they would later set out a road map for the holding of elections.... the resumption of talks between Speaker of the House of Representatives Aguila Saleh and President of the High State Council Khaled Mishri. The two met in Cairo on 5 January. In a statement following the meeting, UNSMIL “strongly encourage[d] the two chambers to now swiftly reach a complete and final agreement including on the contentious issues to finalize the steps required to take the country to inclusive national elections within a specific timeframe”..... In the past few days, Cairo has been the scene for several encounters between Libya’s rival parties. Speaker of Libya’s House of Representatives, Aguila Saleh, and chairman of the High Council of State (HCS), Khaled Al-Mishri, met in Cairo last Thursday where they achieved a breakthrough in negotiations the constitutional basis for elections in the country......In Egypt a conference between the two rival governments ended in an agreement to resolve differences over elections and hold those elections as soon as possible. The Tripoli faction was represented by the chairman of the High Council of State while the Tobruk faction sent the speaker of their parliament. This conference did not come up with a timeline, only that both sides would work out problems delaying national elections. That’s what everyone has been working on for over a year..... Khalid Almishri, head of the High Council of State, a body that acts as an upper house, met with the speaker of the Tobruk parliament, Aguilah Saleh, in Cairo on Thursday. Egyptian Parliament Speaker Hanafy El Gebaly arranged the face-to-face meeting, highlighting Egypt's role as a mediator in the Libyan crisis. Representatives of the two administrations came closer on the constitutional document that should govern the pre- and post-election period but left many issues unresolved. No dates or deadlines were mentioned. Nor did they determine whether dual citizens would be able to run for the presidency, or when candidates would have to resign from any office if they wished to run. After the meeting in Egypt, Almishri and Saleh agreed to meet again in Egypt to initial the final version of the legal text.",https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=95&crisis_state=&created=&from_month=1&from_year=2024&to_month=1&to_year=2024&page=2; https://unsmil.unmissions.org/sites/default/files/report_of_the_secretary-general_antonio_guterres_on_the_united_nations_support_mission_in_libya_-_05_april_2023.pdf; https://atalayar.com/index.php/en/content/saif-al-islam-gaddafi-emerges-alternative-libyas-two-warring-factions; https://www.securitycouncilreport.org/monthly-forecast/2023-02/libya-38.php; https://libyaupdate.com/possible-meeting-between-sisi-and-menfi-in-cairo-italian-press-reports/; http://www.strategypage.com/qnd/libya/articles/20230110.aspx; ,M
LIB202301-2,Libya,620,,United Arab Emirates,ARE,54,24,8,1,2023,United States; United Arab Emirates,CON_3;CON_591,CON_3; CON_591,2; 696,2,Derek Chollet,,0,,0,,,,"Counselor of the US State Department Derek Chollet will travel to the United Arab Emirates, January 8-10, where he will hold bilateral engagements with key Emirati officials on the latest regional and global developments, including Libya, according to US State Department. “On the sidelines of these multilateral meetings, he will hold bilateral engagements with key Emirati officials on the latest regional and global developments, including regarding the Russian war on Ukraine, Libya, and Iran, among others,” according to the statement.",https://libyaupdate.com/us-state-department-discuss-libya-with-key-officials-in-uae/,MR
LIB202301-3,Libya,620,,Cairo,EGY,31.2358,30.0444,9,1,2023,Egypt,CON_82,CON_82,651,1,,Egyptian Initiative,2+,1,0,,,,"The General Commander of the Libyan National Army (LNA), Field Marshal Khalifa Haftar, met today in Cairo with Chairman of the Presidential Council, Mohamed al-Menfi, according to multiple press reports. Haftar and Al-Menfi reportedly discussed deescalation efforts between Libya’s political parties. This is the second meeting between both leaders. The two first met in February of 2021 in Benghazi.... Yesterday, Menfi held a meeting in Cairo with General Commander of the Libyan National Army (LNA), Field Marshal Khalifa Haftar.",https://libyaupdate.com/haftar-and-menfi-hold-talks-in-cairo-report/; https://libyaupdate.com/possible-meeting-between-sisi-and-menfi-in-cairo-italian-press-reports/,M
LIB202301-4,Libya,620,,Cairo,EGY,31.2358,30.0444,11,1,2023,Egypt,CON_82,CON_82,651,1,,Egyptian Initiative,2+,1,0,,,,"Cairo 11 Jan hosted meeting between head of Presidential Council Mohamed Menfi and head of Libyan National Army, Field Marshall Khalifa Haftar",https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=95&crisis_state=&created=&from_month=1&from_year=2024&to_month=1&to_year=2024&page=2,M
LIB202301-5,Libya,620,,Riyadh,SAU,46.7167,24.6333,12,1,2023,Saudi Arabia; Egypt,CON_419;CON_82,CON_419; CON_82,670; 651,2,Faisal bin Farhan; Sameh Shoukry,,0,,0,,,,"The statement was released following a meeting between Saudi Foreign Minister Prince Faisal bin Farhan and his Egyptian counterpart Sameh Shoukry, who is visiting the Kingdom. The two oversaw the fifth ministerial session of the follow-up and political consultation committee between the two countries. The two sides also stressed their support of the UN-brokered Libyan dialogue. They praised the role of the Libyan House of Representatives and the state in “fulfilling all the frameworks that allow Libya to move toward a better future.” Presidential and parliamentary elections in Libya must be held as soon as possible, the statement said. Saudi Arabia thanked Egypt for hosting and sponsoring Libyan constitutional talks in Cairo in coordination with the UN.",https://www.arabnews.com/node/2231326/saudi-arabia,MR
LIB202301-6,Libya,620,,Tunis,TUN,10.1817,36.8064,16,1,2023,UNSMIL; Libya; Sudan; Chad; Niger; AU,IGO_750;CON_285;CON_158;CON_157;CON_142;GP-6,IGO_750; CON_285; CON_158; CON_157; CON_142; ,; 620; 625; 483; 436; ,6,Abdoulaye Bathily,UNSMIL process,0,,0,,,,"Bathily convened on the margins of the Security Working Group meeting in Tunis on Thursday, the Liaison Committees from Libya, Sudan, Chad, Niger and African Union to launch the data sharing mechanism for the withdrawal of mercenaries and foreign fighters, as per their commitment last month in Cairo. ""This information sharing mechanism will contribute to strengthen security in Libya and the sub region, enable a conducive environment for elections in 2023, and for a sustainable peace and stability."" He said on Twitter.",https://libyaobserver.ly/news/un-envoy-reviews-ceasefire-monitors-steps-mercenaries-withdrawal-libya,MR
LIB202301-7,Libya,620,,Cairo,EGY,31.2358,30.0444,22,1,2023,Egypt; Italy,CON_82;CON_139,CON_82; CON_139,651; 325,2,Abdel Fattah al-Sisi; Sameh Shoukry; Antonio Tajani,,0,,0,,,," Italy’s chief diplomat held talks Sunday with Egyptian and Arab League officials in Cairo that focused on regional security and the conflict in neighboring Libya, as well as sensitive bilateral issues. Tajani said his meeting with President Abdel Fattah el-Sissi also covered energy security and economic cooperation in the Mediterranean, but focused “above all” on political instability in Libya and the efforts to stop “irregular immigration” from that country.",https://apnews.com/article/politics-italy-government-libya-antonio-tajani-egypt-dc6f9fd9e9cb28e6a591cc72da34309c; https://www.newarab.com/news/italy-and-egypt-meet-discuss-libyas-political-stability,MR
LIB202301-8,Libya,620,,Cairo,EGY,31.2358,30.0444,15,1,2023,Egypt,CON_82,CON_82,651,1,,Egyptian Initiative,2+,1,0,,,,"A new round of negotiations kicked off in Cairo over the weekend between Libyan National Army (LNA) commander Khalifa Haftar, head of the Presidential Council Mohammed al-Menfi and Speaker of the east-based parliament Aguila Saleh. Egyptian and Libyan sources, however, told Asharq Al-Awsat that they will meet with Egyptian officials for talks on several Libyan political and military issues. They will cover the delayed presidential and parliamentary elections in wake of the recent understandings reached between the parliament and High Council of State. The two bodies had reached agreements over the elections’ constitutional foundations. .... 15 January held another meeting between Menfi, Haftar and Saleh. Saleh in following days however refused to sign off on document outlining key agreements between HoR and HSC and reaffirmed HoR is Libya’s one and only legislative body and does not need HSC’s approval, suggesting that HoR amend 2011 constitutional declaration “before March”.",https://english.aawsat.com/home/article/4100436/libya%E2%80%99s-haftar-menfi-saleh-return-cairo-negotiations; https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=95&crisis_state=&created=&from_month=1&from_year=2024&to_month=1&to_year=2024&page=2,M
LIB202301-9,Libya,620,,Sirte,LBY,16.5887,31.2089,15,1,2023,UNSMIL,IGO_750,IGO_750,,1,Abdoulaye Bathily,UNSMIL process,2+,1,0,,,,"Libya’s 5+5 Joint Military Committee 5+5 will meet on Sunday, January 15, in Sirte in the presence of the United Nations envoy to Libya, Abdoulaye Bathily… The Joint Military Commission met on 15 and 16 January, during which UN Special Representative for Libya Abdoulaye Bathily announced the launch of joint work between the international ceasefire monitoring team and Libyan monitors in Sirte.....On 15 and 16 January, the Special Representative chaired a meeting with the Commission in Sirte. At the meeting, the Commission approved the terms of reference of a subcommittee on disarmament, demobilization and reintegration, requested UNSMIL to facilitate the Commission’s engagement with armed groups and decided to initiate the work of the liaison committees of Chad, the Niger, the Sudan and the African Union to enhance coordination on the withdrawal of foreign fighters and mercenaries from Libya... The head of the UN Support Mission in Libya — also known as UNSMIL — Abdoulaye Bathily, he announced on Sunday the launch of joint work between the international ceasefire monitoring team and Libyan monitors in Sirte — the meeting took place in Sirte.  During the meeting of the Joint Military Commission 5+5, he encouraged the Joint Military Commission to move forward in implementing the ceasefire agreement. And during the meeting, several issues were covered including moving forward with the Libyan ceasefire monitoring mechanism and the withdrawal of mercenaries and foreign fighters, jointly developed by Libyan and international monitors....The U.N. Envoy, Abdoulaye Bathily, arrived in Sirte today to chair the meeting of the 5+5 Joint Military Committee in the presence of the Libyan ceasefire monitors and their international counterparts. ",https://libyaupdate.com/un-libyas-55-jmc-to-hold-meeting-in-sirte-next-sunday-report/; https://www.securitycouncilreport.org/monthly-forecast/2023-02/libya-38.php; https://libyaupdate.com/un-envoy-arrives-in-sirte-for-55-jmc-meeting/; https://press.un.org/en/2023/db230116.doc.htm; https://unsmil.unmissions.org/sites/default/files/report_of_the_secretary-general_antonio_guterres_on_the_united_nations_support_mission_in_libya_-_05_april_2023.pdf; https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=95&crisis_state=&created=&from_month=1&from_year=2024&to_month=1&to_year=2024&page=2,M
LIB202302-1,Libya,620,,Moscow,RUS,37.6172,55.7558,2,2,2023,Russia; Iran (Islamic Republic of),CON_21;CON_289,CON_21; CON_289,365; 630,2,Ali Asghar Khaji; Vladimir Bogdanov,,0,,0,,,,"Senior adviser to Iranian foreign minister for special political affairs Ali Asghar Khaji, who is visiting Moscow for consultations with Russian officials, held a meeting with the Russian president’s special representative for the Middle East and North Africa Vladimir Bogdanov on Wednesday. The latest developments in Libya were also among the topics discussed in the meeting. The parties underscored the necessity of protecting the territorial integrity of Libya and realization of national solidarity and restoration of peace and security in the North African country.",https://www.tasnimnews.com/en/news/2023/02/02/2847063/iran-russia-discuss-regional-developments,MR
